Trio,Paternal GT,Maternal GT,F1 age,Min DP,Max DP,Min AB,Max AB,MVs,# MVs passed,Transmission frequency,Paternal MVs,Maternal MVs,CpG MVs,Sites,CpG sites,Avg DP,Uncallable sites,Percent CpG,SNPs,CpG SNPs,Avg SNP DP,Uncallable SNP sites,Percent CpG,Mutation rate,Total SNPs,Post Filter SNPs,AB filtered SNPs,Min FN,MVs corrected for FN,Mutation rate corrected for FN,Notes
1,4.89,5.27,6.83,10,60,NA,NA,164,31,0.189,50,36,20,2343717311,121272053,35.18000677,127622373,0.051743464,3685,439,22.93459973,13997318,0.119131615,3.52E-08,471532403,456877537,0,0,164,3.52E-08,
2,5.67,6.27,1.53,10,60,NA,NA,183,NA,NA,0,0,25,2342734537,121322444,35.21566743,128605147,0.05178668,3055,360,22.49230769,14695674,0.117839607,3.93E-08,471532403,456877537,0,0,183,3.93E-08,
3,6.32,6.93,0.87,10,60,NA,NA,209,NA,NA,0,0,14,2342539880,121328909,35.21837068,128799804,0.051793743,3608,384,22.95537694,15514288,0.106430155,4.49E-08,471532403,456877537,0,0,209,4.49E-08,
4,10.06,10.36,5.58,10,60,NA,NA,232,31,0.134,133,88,16,2341491946,121115113,35.29016803,129847738,0.051725616,4606,529,22.4170647,16394091,0.114850195,4.99E-08,471532403,456877537,0,0,232,4.99E-08,
5,13.12,4.76,1.19,10,60,NA,NA,188,NA,NA,0,0,18,2341167185,121149858,35.22565357,130172499,0.051747632,2928,323,22.76400273,15154555,0.110314208,4.04E-08,471532403,456877537,0,0,188,4.04E-08,
6,5.2,4.65,8.61,10,60,NA,NA,279,50,0.179,97,56,28,2334808958,120757643,35.17027342,136530726,0.051720567,5742,700,24.99895507,16390596,0.121908743,6.02E-08,471532403,456877537,0,0,279,6.02E-08,
7,7.44,7.74,1.17,10,60,NA,NA,198,NA,NA,0,0,14,2338336130,121017782,35.17157878,133003554,0.051753801,3207,343,23.27564702,15088032,0.106953539,4.26E-08,471532403,456877537,0,0,198,4.26E-08,
8,8.04,8.34,0.96,10,60,NA,NA,205,NA,NA,0,0,24,2339689181,121055939,35.1816819,131650503,0.05174018,3338,385,23.57699221,14940933,0.115338526,4.41E-08,471532403,456877537,0,0,205,4.41E-08,
9,6.02,6.4,5.7,10,60,NA,NA,136,12,0.088,71,62,11,2342806385,121239222,35.170303,128533299,0.05174957,3100,345,22.47387097,13970667,0.111290323,2.92E-08,471532403,456877537,0,0,136,2.92E-08,
10,7.02,4.96,1.1,10,60,NA,NA,210,NA,NA,0,0,21,2339054135,121042256,35.18743304,132285549,0.051748377,4112,469,24.46254864,15111527,0.11405642,4.52E-08,471532403,456877537,0,0,210,4.52E-08,
